Nombre,Artista,Álbum,Fecha añadida,Duración (ms),Popularidad,Géneros
Show Me - slowed,BURY,Show Me,2025-06-25T16:59:53Z,231676,40,dark r&b
"Make Love, Get High",Beneld,"Make Love, Get High",2025-06-25T16:42:58Z,177173,40,dark r&b
Stay,Cheyanne,Stay,2025-06-25T16:10:13Z,177600,53,dark r&b
Possession,Cheyanne,Possession,2025-06-25T16:04:52Z,211071,49,dark r&b
Enemy,Cheyanne,Enemy,2025-06-25T15:46:11Z,205099,48,dark r&b
say my name - slowed,BURY,say my name,2025-06-25T15:26:34Z,175539,41,dark r&b
Summertime,Limi,The Best I Ever Had,2025-06-25T15:24:14Z,180160,51,dark r&b
Late Night Confessions - Slowed + Reverb,Reed Wonder,Late Night Confessions,2025-06-25T14:58:24Z,208315,48,dark r&b
One Night,Cheyanne,One Night,2025-06-25T14:54:55Z,240723,48,dark r&b
Sex Appeal,Alicœurbrisé,Sex Appeal,2025-06-25T14:47:04Z,153267,45,dark r&b
say my name - sped up,BURY,say my name,2025-06-25T14:39:59Z,147130,38,dark r&b
look what you've done to me - slowed + reverb,zandros,look what you've done to me,2025-06-25T14:28:05Z,189620,37,dark r&b
BODY (pt. II),Zelus Ex,BODY (pt. II),2025-06-25T14:24:19Z,179331,39,
MTG DIAMANTE ROSA 2,vtze archive,MTG DIAMANTE ROSA 2,2025-06-24T17:52:34Z,107651,68,"phonk, brazilian phonk"
Na Ondinha,Os Quebradeiras,Cê Quebra,2025-06-24T17:44:58Z,133205,58,"funk carioca, brazilian funk"
Tipo Nino Vs Kabrinha,DJ Biel Divulga,Tipo Nino Vs Kabrinha,2025-06-24T17:01:02Z,201230,83,"funk, brazilian funk"
Ride Or Die,Sevdaliza,Ride Or Die,2025-06-24T16:45:46Z,184510,69,
NEVER EVER,Omido,NEVER EVER,2025-06-24T14:18:56Z,178947,57,dark r&b
Bad (feat. Rihanna) - Remix,Wale,The Gifted,2025-06-23T18:40:07Z,238826,82,
Frente - Sped Up,DJ Batidão,Frente,2025-06-23T17:15:41Z,118192,23,
DRESS!,Eternxlkz,DRESS!,2025-06-23T16:48:40Z,90461,68,"phonk, brazilian phonk"
BULGARIAN ETERNAL FUNK,Eternxlkz,BULGARIAN ETERNAL FUNK,2025-06-23T16:39:40Z,114461,48,"phonk, brazilian phonk"
GLORY - Sped Up,Ogryzek,GLORY,2025-06-23T16:37:38Z,120750,55,"phonk, brazilian phonk"
FORCE!,Eternxlkz,FORCE!,2025-06-23T16:35:17Z,118153,58,"phonk, brazilian phonk"
AURA - Slowed,Ogryzek,AURA,2025-06-23T16:32:39Z,137986,70,"phonk, brazilian phonk"
ENOUGH! - Slowed + Reverb,Eternxlkz,ENOUGH!,2025-06-23T16:30:31Z,113365,57,"phonk, brazilian phonk"
AURA of GLORY,Ogryzek,AURA of GLORY,2025-06-23T16:29:04Z,240700,67,"phonk, brazilian phonk"
NEXT UP! - Ultra Slowed,NCTS,NEXT UP!,2025-06-23T16:28:21Z,108349,60,"phonk, brazilian phonk"
BRODYAGA FUNK - SLOWED + REVERB,Eternxlkz,BRODYAGA FUNK,2025-06-23T16:25:37Z,149764,60,"phonk, brazilian phonk"
BRODYAGA FUNK - OVER SLOWED + REVERB,Eternxlkz,BRODYAGA FUNK,2025-06-23T16:22:47Z,168485,55,"phonk, brazilian phonk"
West Coast,Lana Del Rey,Ultraviolence (Deluxe),2025-06-23T03:12:01Z,256760,86,
Human,Sevdaliza,Ison,2025-06-23T03:11:28Z,192042,55,
